severity,disease,filename,filepath,width,height,format,mode,is_augmented,source_filepath
Ringan,Solar Lentigo,aug_00000_sebk2.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00000_sebk2.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\sebk2.jpg
Ringan,Solar Lentigo,aug_00001_lentigo25.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00001_lentigo25.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\lentigo25.jpg
Ringan,Solar Lentigo,aug_00002_solar-lentigo-18.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00002_solar-lentigo-18.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-18.jpg
Ringan,Solar Lentigo,aug_00003_solar-lentigo-04.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00003_solar-lentigo-04.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-04.jpg
Ringan,Solar Lentigo,aug_00004_lentigo19.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00004_lentigo19.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\lentigo19.jpg
Ringan,Solar Lentigo,aug_00005_solar-lentigo-2-molescope-2-v2.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00005_solar-lentigo-2-molescope-2-v2.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-2-molescope-2-v2.jpg
Ringan,Solar Lentigo,aug_00006_solar-lentigo-3-hybrid-unpolarised-v2.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00006_solar-lentigo-3-hybrid-unpolarised-v2.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-3-hybrid-unpolarised-v2.jpg
Ringan,Solar Lentigo,aug_00007_atypical-solar-lentigo-03.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00007_atypical-solar-lentigo-03.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\atypical-solar-lentigo-03.jpg
Ringan,Solar Lentigo,aug_00008_solar-lentigo-2-heine-ic1-unpolarised-v2.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00008_solar-lentigo-2-heine-ic1-unpolarised-v2.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-2-heine-ic1-unpolarised-v2.jpg
Ringan,Solar Lentigo,aug_00009_solar-lentigo-2-handyscope-polarised-v2.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00009_solar-lentigo-2-handyscope-polarised-v2.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-2-handyscope-polarised-v2.jpg
Ringan,Solar Lentigo,aug_00010_solar-lentigo-2-handyscope-polarised-v2.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00010_solar-lentigo-2-handyscope-polarised-v2.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-2-handyscope-polarised-v2.jpg
Ringan,Solar Lentigo,aug_00011_solar-lentigo-12.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00011_solar-lentigo-12.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-12.jpg
Ringan,Solar Lentigo,aug_00012_sebk2.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00012_sebk2.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\sebk2.jpg
Ringan,Solar Lentigo,aug_00013_lentigo35.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00013_lentigo35.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\lentigo35.jpg
Ringan,Solar Lentigo,aug_00014_solar-lentigo-07.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00014_solar-lentigo-07.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-07.jpg
Ringan,Solar Lentigo,aug_00015_SL-1-dermoscopy.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00015_SL-1-dermoscopy.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\SL-1-dermoscopy.jpg
Ringan,Solar Lentigo,aug_00016_atypical-solar-lentigo-02.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00016_atypical-solar-lentigo-02.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\atypical-solar-lentigo-02.jpg
Ringan,Solar Lentigo,aug_00017_374.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00017_374.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\374.jpg
Ringan,Solar Lentigo,aug_00018_solar-lentigo-10 (1).jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00018_solar-lentigo-10 (1).jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-10 (1).jpg
Ringan,Solar Lentigo,aug_00019_solar-lentigo-2-gl-v2.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00019_solar-lentigo-2-gl-v2.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-2-gl-v2.jpg
Ringan,Solar Lentigo,aug_00020_solar-lentigo-04.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00020_solar-lentigo-04.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-04.jpg
Ringan,Solar Lentigo,aug_00021_lentigo15.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00021_lentigo15.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\lentigo15.jpg
Ringan,Solar Lentigo,aug_00022_lentigo25.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00022_lentigo25.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\lentigo25.jpg
Ringan,Solar Lentigo,aug_00023_solar-lentigo-27.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00023_solar-lentigo-27.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-27.jpg
Ringan,Solar Lentigo,aug_00024_solar-lentigo-01.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00024_solar-lentigo-01.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-01.jpg
Ringan,Solar Lentigo,aug_00025_solar-lentigo-17.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00025_solar-lentigo-17.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-17.jpg
Ringan,Solar Lentigo,aug_00026_solar-lentigo-2-illuco-polarised-v2.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00026_solar-lentigo-2-illuco-polarised-v2.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-2-illuco-polarised-v2.jpg
Ringan,Solar Lentigo,aug_00027_solar-lentigo-25.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00027_solar-lentigo-25.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-25.jpg
Ringan,Solar Lentigo,aug_00028_SL-2-macro.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00028_SL-2-macro.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\SL-2-macro.jpg
Ringan,Solar Lentigo,aug_00029_solar-lentigo-06.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00029_solar-lentigo-06.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-06.jpg
Ringan,Solar Lentigo,aug_00030_lentigo24.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00030_lentigo24.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\lentigo24.jpg
Ringan,Solar Lentigo,aug_00031_face-ntwk1.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00031_face-ntwk1.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\face-ntwk1.jpg
Ringan,Solar Lentigo,aug_00032_solar-lentigo-2-illuco-polarised-v2.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00032_solar-lentigo-2-illuco-polarised-v2.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-2-illuco-polarised-v2.jpg
Ringan,Solar Lentigo,aug_00033_solar-lentigo-05.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00033_solar-lentigo-05.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\solar-lentigo-05.jpg
Ringan,Solar Lentigo,aug_00034_lentigo30.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00034_lentigo30.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\lentigo30.jpg
Ringan,Solar Lentigo,aug_00035_lentigo20.jpg,D:/Analisis data cptn/clean_data\train\Ringan\Solar Lentigo\aug_00035_lentigo20.jpg,224,224,JPEG,RGB,True,D:/Analisis data cptn/Data capston project\Ringan\Solar Lentigo\lentigo20.jpg
