severity,disease,filename,filepath,width,height,format,mode
Sedang,Melasma,19_jpeg_jpg.rf.96b965aa785d48c855f7af39286751ad.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\19_jpeg_jpg.rf.96b965aa785d48c855f7af39286751ad.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak213_jpg.rf.d1f5195b7d9c8d233c0236f0aec3fb29.jpg,D:/Analisis data cptn/Data capston project\Normal\healthy skin\Berminyak213_jpg.rf.d1f5195b7d9c8d233c0236f0aec3fb29.jpg,512,512,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0057334.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0057334.jpg,1024,1024,JPEG,RGB
Terparah,Melanoma,ISIC_7418664.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7418664.jpg,512,512,JPEG,RGB
Sedang,Warts Molluscum and other Viral Infections,6_274.jpg,D:/Analisis data cptn/Data capston project\Sedang\Warts Molluscum and other Viral Infections\6_274.jpg,294,222,JPEG,RGB
Normal,healthy skin,Normal38_jpg.rf.19ab2f7d412495935baade6bd1fc0c4e.jpg,D:/Analisis data cptn/Data capston project\Normal\healthy skin\Normal38_jpg.rf.19ab2f7d412495935baade6bd1fc0c4e.jpg,512,512,JPEG,RGB
Sedang,Melasma,images-5-_jpeg.rf.4d4662acebc3e41474da4bfc56e2a82d.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\images-5-_jpeg.rf.4d4662acebc3e41474da4bfc56e2a82d.jpg,512,512,JPEG,RGB
Terparah,Melanoma,ISIC_7335835.jpg,D:/Analisis data cptn/Data capston project\Terparah\Melanoma\ISIC_7335835.jpg,512,512,JPEG,RGB
Sedang,Melasma,223_jpg.rf.c6afe6e54909c68f0700d97d0d690103.jpg,D:/Analisis data cptn/Data capston project\Sedang\Melasma\223_jpg.rf.c6afe6e54909c68f0700d97d0d690103.jpg,512,512,JPEG,RGB
Ringan,Benign Keratosis-like Lesions (BKL),ISIC_0068350.jpg,D:/Analisis data cptn/Data capston project\Ringan\Benign Keratosis-like Lesions (BKL)\ISIC_0068350.jpg,1024,1024,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0073221.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0073221.jpg,1024,1024,JPEG,RGB
Normal,healthy skin,normal120.png,D:/Analisis data cptn/Data capston project\Normal\healthy skin\normal120.png,224,224,PNG,RGB
Ringan,Benign Keratosis-like Lesions (BKL),ISIC_0027394.jpg,D:/Analisis data cptn/Data capston project\Ringan\Benign Keratosis-like Lesions (BKL)\ISIC_0027394.jpg,600,450,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0056870.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0056870.jpg,1024,1024,JPEG,RGB
Terparah,Basal Cell Carcinoma (BCC),ISIC_0056477.jpg,D:/Analisis data cptn/Data capston project\Terparah\Basal Cell Carcinoma (BCC)\ISIC_0056477.jpg,1024,1024,JPEG,RGB
