severity,disease,filename,filepath,width,height,format,mode
Normal,healthy skin,17053005206957139408735922636266 - Gabriel Marcaellino -.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\17053005206957139408735922636266 - Gabriel Marcaellino -.jpg,4080,2296,JPEG,RGB
Normal,healthy skin,17053016125375393346221463682922 - Billy Endryanto.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\17053016125375393346221463682922 - Billy Endryanto.jpg,3000,4000,JPEG,RGB
Normal,healthy skin,20240115_115549.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_115549.jpg,4000,3000,JPEG,RGB
Normal,healthy skin,20240115_115615.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_115615.jpg,4000,3000,JPEG,RGB
Normal,healthy skin,20240115_120344.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_120344.jpg,4000,3000,JPEG,RGB
Normal,healthy skin,20240115_120358.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_120358.jpg,4000,3000,JPEG,RGB
Normal,healthy skin,20240115_120853.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_120853.jpg,2944,2208,JPEG,RGB
Normal,healthy skin,20240115_121041.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_121041.jpg,4000,3000,JPEG,RGB
Normal,healthy skin,20240115_121553.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_121553.jpg,4000,3000,JPEG,RGB
Normal,healthy skin,20240115_183658(1).jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_183658(1).jpg,4000,3000,JPEG,RGB
Normal,healthy skin,20240115_183658.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_183658.jpg,4000,3000,JPEG,RGB
Normal,healthy skin,20240115_183707(1).jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_183707(1).jpg,4000,3000,JPEG,RGB
Normal,healthy skin,20240115_183707.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_183707.jpg,4000,3000,JPEG,RGB
Normal,healthy skin,20240115_195251.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_195251.jpg,4032,2268,JPEG,RGB
Normal,healthy skin,20240115_195330.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_195330.jpg,4032,2268,JPEG,RGB
Normal,healthy skin,20240115_195449.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_195449.jpg,4032,2268,JPEG,RGB
Normal,healthy skin,20240115_195458.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240115_195458.jpg,4032,2268,JPEG,RGB
Normal,healthy skin,20240116_114512 - Ridho Dimas Ramadhan.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240116_114512 - Ridho Dimas Ramadhan.jpg,4032,2268,JPEG,RGB
Normal,healthy skin,20240116_114521 - Ridho Dimas Ramadhan.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\20240116_114521 - Ridho Dimas Ramadhan.jpg,4032,2268,JPEG,RGB
Normal,healthy skin,Berminyak100_jpg.rf.e984d3811464f8ea0b38e4fd5d5e64dd.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak100_jpg.rf.e984d3811464f8ea0b38e4fd5d5e64dd.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak101_jpg.rf.71d3864b360f9910162e3384ff8ff2e5.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak101_jpg.rf.71d3864b360f9910162e3384ff8ff2e5.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak106_jpg.rf.3e86f951983898eeb1c6a5a6d2c7d685.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak106_jpg.rf.3e86f951983898eeb1c6a5a6d2c7d685.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak107_jpg.rf.d815e676b813488051b02da1e1b5aa3f.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak107_jpg.rf.d815e676b813488051b02da1e1b5aa3f.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak108_jpg.rf.815df84c8c5e509db401585b088ed3cc.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak108_jpg.rf.815df84c8c5e509db401585b088ed3cc.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak109_jpg.rf.39d69ccdc7d56dc0f4ea8da38d9e3b3b.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak109_jpg.rf.39d69ccdc7d56dc0f4ea8da38d9e3b3b.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak113_jpg.rf.66b1697e83717f6d2c7813668e75ef6a.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak113_jpg.rf.66b1697e83717f6d2c7813668e75ef6a.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak115_jpg.rf.bc86623ed060e671c9eb00eb8084fd2f.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak115_jpg.rf.bc86623ed060e671c9eb00eb8084fd2f.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak116_jpg.rf.3b7c04e878d3e1eeac51611d5a99267b.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak116_jpg.rf.3b7c04e878d3e1eeac51611d5a99267b.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak118_jpg.rf.8cc2e43fb410c6f947f127f50b47af7b.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak118_jpg.rf.8cc2e43fb410c6f947f127f50b47af7b.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak119_jpg.rf.e03b7ddee3a68cb8b8a81535e9c657ee.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak119_jpg.rf.e03b7ddee3a68cb8b8a81535e9c657ee.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak11_jpg.rf.4d2b2dffdc02fa03ff512986ae79f339.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak11_jpg.rf.4d2b2dffdc02fa03ff512986ae79f339.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak121_jpg.rf.777d3b86e879346234e4d9673472d87c.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak121_jpg.rf.777d3b86e879346234e4d9673472d87c.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak122_jpg.rf.d025589c11f51379b59d0f7dce37ddac.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak122_jpg.rf.d025589c11f51379b59d0f7dce37ddac.jpg,512,512,JPEG,RGB
Normal,healthy skin,Berminyak123_jpg.rf.9f4acc627505fcbece7e9e39a219d91b.jpg,D:/studi independen/ANALISIS_DATA_CPTN/Data capston project\Normal\healthy skin\Berminyak123_jpg.rf.9f4acc627505fcbece7e9e39a219d91b.jpg,512,512,JPEG,RGB
